"species_code","common_name","scientific_name","luomus_name","suomenkielinen_nimi","class"
"cretit2","Crested Tit","Lophophanes cristatus","Parus cristatus","töyhtötiainen",242
"smew","Smew","Mergellus albellus","Mergellus albellus","uivelo",243
"comred","Common Redpoll","Acanthis flammea","Carduelis flammea","urpiainen",244
"stodov1","Stock Dove","Columba oenas","Columba oenas","uuttukyyhky",245
"bargoo","Barnacle Goose","Branta leucopsis","Branta leucopsis","valkoposkihanhi",246
"whbwoo1","White-backed Woodpecker","Dendrocopos leucotos","Dendrocopos leucotos","valkoselkätikka",247
"comgre","Common Greenshank","Tringa nebularia","Tringa nebularia","valkoviklo",248
"hoocro1","Hooded Crow","Corvus cornix","Corvus corone","varis",249
"houspa","House Sparrow","Passer domesticus","Passer domesticus","varpunen",250
"eurspa1","Eurasian Sparrowhawk","Accipiter nisus","Accipiter nisus","varpushaukka",251
"eupowl1","Eurasian Pygmy-Owl","Glaucidium passerinum","Glaucidium passerinum","varpuspöllö",252
"renpha","Red-necked Phalarope","Phalaropus lobatus","Phalaropus lobatus","vesipääsky",253
"eurgre1","European Greenfinch","Chloris chloris","Carduelis chloris","viherpeippo",254
"eursis","Eurasian Siskin","Spinus spinus","Carduelis spinus","vihervarpunen",255
"bearee1","Bearded Reedling","Panurus biarmicus","Panurus biarmicus","viiksitimali",256
"comqua1","Common Quail","Coturnix coturnix","Coturnix coturnix","viiriäinen",257
"uraowl1","Ural Owl","Strix uralensis","Strix uralensis","viirupöllö",258
"blrwar1","Blyth's Reed Warbler","Acrocephalus dumetorum","Acrocephalus dumetorum","viitakerttunen",259
"eurwar2","River Warbler","Locustella fluviatilis","Locustella fluviatilis","viitasirkkalintu",260
"martit2","Marsh Tit","Poecile palustris","Poecile palustris","viitatiainen",261
"grywag","Gray Wagtail","Motacilla cinerea","Motacilla cinerea","virtavästäräkki",262
"twite1","Twite","Linaria flavirostris","Carduelis flavirostris","vuorihemppo",263
"whiwag","White Wagtail","Motacilla alba","Motacilla alba","västäräkki",264
