species_code,common_name,scientific_name,class
batgod,Bar-tailed Godwit,Limosa lapponica,156
bktgod,Black-tailed Godwit,Limosa limosa,157
comsni,Common Snipe,Gallinago gallinago,158
whisto1,White Stork,Ciconia ciconia,159
grecor,Great Cormorant,Phalacrocorax carbo,160
grebit1,Great Bittern,Botaurus stellaris,161
litbit1,Little Bittern,Ixobrychus minutus,162
greegr,Great Egret,Ardea alba,163
categr,Cattle Egret,Bubulcus ibis,164
goleag,Golden Eagle,Aquila chrysaetos,165
wemhar1,Eurasian Marsh-Harrier,Circus aeruginosus,166
blakit1,Black Kite,Milvus migrans,167
whteag,White-tailed Eagle,Haliaeetus albicilla,168
litowl1,Little Owl,Athene noctua,169
sheowl,Short-eared Owl,Asio flammeus,170
hoopoe,Eurasian Hoopoe,Upupa epops,171
comkin1,Common Kingfisher,Alcedo atthis,172
merlin,Merlin,Falco columbarius,173
perfal,Peregrine Falcon,Falco peregrinus,174
rebshr1,Red-backed Shrike,Lanius collurio,175
norshr1,Great Gray Shrike,Lanius excubitor,176
bearee1,Bearded Reedling,Panurus biarmicus,177
melwar1,Melodious Warbler,Hippolais polyglotta,178
ictwar1,Icterine Warbler,Hippolais icterina,179
aquwar1,Aquatic Warbler,Acrocephalus paludicola,180
sedwar1,Sedge Warbler,Acrocephalus schoenobaenus,181
eurwar1,Eurasian Reed Warbler,Acrocephalus scirpaceus,182
grrwar1,Great Reed Warbler,Acrocephalus arundinaceus,183
eurwar2,River Warbler,Locustella fluviatilis,184
eurcrm1,Eurasian Crag-Martin,Ptyonoprogne rupestris,185
arcwar1,Arctic Warbler,Phylloscopus borealis,186
barwar1,Barred Warbler,Sylvia nisoria,187
wallcr1,Wallcreeper,Tichodroma muraria,188
blueth,Bluethroat,Luscinia svecica,189
whinch1,Whinchat,Saxicola rubetra,190
stonec4,European Stonechat,Saxicola rubicola,191
bohwax,Bohemian Waxwing,Bombycilla garrulus,192
whwsno1,White-winged Snowfinch,Montifringilla nivalis,193
eaywag1,Western Yellow Wagtail,Motacilla flava,194
